event_id,title,crime_type,crime_type_zh,city,state,lat,lng,source_media,news_url,pub_time,pub_ts,city_method,llm_verified,llm_score,llm_state,llm_city,llm_neighbor,llm_type,etl_dt
inc_1418,"Homem procurado pela Justiça do Piauí morre após operação da PM em Paraisópolis, na Zona Sul de SP",homicidio,凶杀,São Paulo,SP,-23.529817,-46.609503,G1 São Paulo,https://g1.globo.com/sp/sao-paulo/noticia/2026/06/17/homem-procurado-pela-justica-do-piaui-morre-apos-operacao-da-pm-em-paraisopolis-na-zona-sul-de-sp.ghtml,2026-06-17T22:37:52+00:00,1781735872,default,,,,,,,20260622
inc_1419,"Casal que viveu junto por quase 40 anos morre com 3 horas de diferença em SC: 'A gente não esperava', diz filha",homicidio,凶杀,Florianópolis,SC,-27.603181,-48.550553,G1 Santa Catarina,https://g1.globo.com/sc/santa-catarina/noticia/2026/06/17/casal-junto-38-anos-morre-3-horas-diferenca-sc.ghtml,2026-06-17T22:35:50+00:00,1781735750,default,,,,,,,20260622
inc_1420,Governo do RJ suspende pagamentos de projeto de R$ 52 milhões por suspeita de desvio de dinheiro público,homicidio,凶杀,Rio de Janeiro,RJ,-22.90974,-43.19734,G1 Rio de Janeiro,https://g1.globo.com/rj/rio-de-janeiro/noticia/2026/06/17/governo-do-rj-suspende-pagamentos-de-projeto-de-r-52-milhoes-por-suspeita-de-desvio-de-dinheiro-publico.ghtml,2026-06-17T22:33:44+00:00,1781735624,url,,,,,,,20260622
inc_1421,"Genro confessa que matou sogra a facadas e que agiu para proteger filho de supostos abusos, diz delegado",homicidio,凶杀,Ribeirão Preto,SP,-21.158625,-47.804232,G1 Ribeirão Preto,https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2026/06/17/genro-confessa-que-matou-sogra-a-facadas-e-que-agiu-para-proteger-filho-de-supostos-abusos-diz-delegado.ghtml,2026-06-17T22:26:47+00:00,1781735207,default,,,,,,,20260622
inc_1422,"Farmacêutica é presa após dar vacina vencida para bebê de seis meses em Aparecida de Goiânia, diz polícia",homicidio,凶杀,Goiânia,GO,-16.674226,-49.289468,G1 Goiás,https://g1.globo.com/go/goias/noticia/2026/06/17/farmaceutica-e-presa-apos-dar-vacina-vencida-para-bebe-de-seis-meses-em-aparecida-de-goiania-diz-policia.ghtml,2026-06-17T22:22:33+00:00,1781734953,title,,,,,,,20260622
inc_1423,Justiça torna réus funcionário do Crea-PA e candidata acusados de fraudar eleição,fraude,诈骗,Belém,PA,-1.443123,-48.498266,G1 Pará,https://g1.globo.com/pa/para/noticia/2026/06/17/justica-torna-reus-acusados-de-tentar-fraudar-eleicao-do-crea-pa-e-afasta-envolvidos-das-funcoes.ghtml,2026-06-17T22:18:08+00:00,1781734688,default,,,,,,,20260622
inc_1424,Termo de uso para posto para recarga de elétricos no Aterro é revogado pela Prefeitura após denúncia de derrubada de árvores,outros,其他,Rio de Janeiro,RJ,-22.896222,-43.177258,G1 Rio de Janeiro,https://g1.globo.com/rj/rio-de-janeiro/noticia/2026/06/17/obra-de-posto-para-recarga-de-eletricos-no-aterro-do-flamengo-e-revogada-pela-prefeitura-apos-denuncia-de-derrubada-de-arvores.ghtml,2026-06-17T22:17:55+00:00,1781734675,url,,,,,,,20260622
inc_1425,Curto-circuito provoca incêndio em empresa agrícola de Coroados,outros,其他,São José do Rio Preto,SP,-20.813154,-49.386267,G1 São José do Rio Preto,https://g1.globo.com/sp/sao-jose-do-rio-preto-aracatuba/noticia/2026/06/17/curto-circuito-provoca-incendio-em-empresa-agricola-de-coroados.ghtml,2026-06-17T22:14:19+00:00,1781734459,default,,,,,,,20260622
inc_1426,"Golpistas estão se passando por promotores de Justiça em e-mails falsos no PI, alerta MP",fraude,诈骗,Teresina,PI,-5.076694,-42.791944,G1 Piauí,https://g1.globo.com/pi/piaui/noticia/2026/06/17/golpistas-alerta-mp.ghtml,2026-06-17T22:11:11+00:00,1781734271,default,,,,,,,20260622
inc_1427,"Homem é preso com 2,5 toneladas de cassiterita transportadas ilegalmente em RO",policia,警方,Porto Velho,RO,-8.753816,-63.880896,G1 Rondônia,https://g1.globo.com/ro/rondonia/noticia/2026/06/17/homem-e-preso-com-25-toneladas-de-cassiterita-transportadas-ilegalmente-em-ro.ghtml,2026-06-17T22:10:25+00:00,1781734225,default,,,,,,,20260622
inc_1428,"Mortes no trânsito caem 38,5% em maio na Baixada Santista; veja",veiculo,车辆,Santos,SP,-23.979013,-46.308746,G1 Santos,https://g1.globo.com/sp/santos-regiao/noticia/2026/06/17/mortes-no-transito-caem-385percent-em-maio-na-baixada-santista-veja.ghtml,2026-06-17T22:10:21+00:00,1781734221,default,,,,,,,20260622
inc_1429,"Bebê de 29 dias engasgada é salva por policiais militares na RJ-216, em Campos",homicidio,凶杀,Campos dos Goytacazes,RJ,-21.77458,-41.319537,G1 Norte Fluminense,https://g1.globo.com/rj/norte-fluminense/noticia/2026/06/17/bebe-de-29-dias-engasgada-e-salva-por-policiais-militares-na-rj-216-em-campos.ghtml,2026-06-17T22:08:29+00:00,1781734109,default,,,,,,,20260622
inc_1430,Suspeito de matar ex-companheira foi preso a quase 900 km do local do crime,homicidio,凶杀,Palmas,TO,-10.175553,-48.316792,G1 Tocantins,https://g1.globo.com/to/tocantins/noticia/2026/06/17/suspeito-de-matar-ex-companheira-foi-preso-a-quase-900-km-do-local-do-crime.ghtml,2026-06-17T22:07:30+00:00,1781734050,default,,,,,,,20260622
inc_1431,"Cobras de R$ 4 mil, ouriços e outros animais exóticos são resgatados em casas em Vila Velha",sequestro,绑架,Vitória,ES,-20.314304,-40.287918,G1 Espírito Santo,https://g1.globo.com/es/espirito-santo/noticia/2026/06/17/animais-exoticos-sao-resgatados-em-casas-em-vila-velha-ouricos-e-cobras-de-r-4-mil-estao-entre-as-especies.ghtml,2026-06-17T22:06:13+00:00,1781733973,default,,,,,,,20260622
inc_1432,Terceirização das UPAs: Defesa diz que carro de luxo não foi vantagem indevida e cita 'relacionamento pessoal' de servidor e empresária,fraude,诈骗,Palmas,TO,-10.204488,-48.309692,G1 Tocantins,https://g1.globo.com/to/tocantins/noticia/2026/06/17/terceirizacao-das-upas-defesa-diz-que-carro-de-luxo-nao-foi-vantagem-indevida-e-cita-relacionamento-pessoal-de-servidor-e-empresaria.ghtml,2026-06-17T22:05:23+00:00,1781733923,default,,,,,,,20260622
inc_1433,"Marina Sena participa de gravação em pontos turísticos de Belém, encontra fãs e elogia culinária paraense",outros,其他,Belém,PA,-1.480269,-48.467611,G1 Pará,https://g1.globo.com/pa/para/noticia/2026/06/17/marina-sena-grava-imagens-em-pontos-turisticos-de-belem-encontra-fas-e-elogia-culinaria-paraense.ghtml,2026-06-17T22:03:42+00:00,1781733822,title,,,,,,,20260622
inc_1434,Líder religioso suspeito de aplicar golpe em idosa é preso em Sergipe,violencia,暴力,Aracaju,SE,-10.946616,-37.067284,G1 Sergipe,https://g1.globo.com/se/sergipe/noticia/2026/06/17/lider-religioso-suspeito-de-aplicar-golpe-em-idosa-e-preso-em-sergipe.ghtml,2026-06-17T22:01:54+00:00,1781733714,default,,,,,,,20260622
inc_1435,Mais de R$ 8 milhões: Fazenda do antigo Cerne é leiloada em Goiânia,outros,其他,Goiânia,GO,-16.698869,-49.26373,G1 Goiás,https://g1.globo.com/go/goias/noticia/2026/06/17/mais-de-r-8-milhoes-fazenda-do-antigo-cerne-e-leiloada-em-goiania.ghtml,2026-06-17T21:56:01+00:00,1781733361,title,,,,,,,20260622
inc_1436,Vigilante é preso após pai ser resgatado sobre fezes e insetos em garagem no interior de SP,policia,警方,Sorocaba,SP,-23.481795,-47.471308,G1 Sorocaba,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2026/06/17/vigilante-preso-jundiai.ghtml,2026-06-17T21:54:28+00:00,1781733268,default,,,,,,,20260622
